@RELATION appendixE_666_pointO_pulse_only

@ATTRIBUTE omega_m_MHz NUMERIC
@ATTRIBUTE omega_a_MHz NUMERIC
@ATTRIBUTE sigma_ns NUMERIC
@ATTRIBUTE T_active_ns NUMERIC
@ATTRIBUTE T_total_ns NUMERIC
@ATTRIBUTE omega_r_MHz NUMERIC
@ATTRIBUTE omega_p_MHz NUMERIC
@ATTRIBUTE g_qr_MHz NUMERIC
@ATTRIBUTE J_MHz NUMERIC
@ATTRIBUTE detuning_MHz NUMERIC
@ATTRIBUTE leakage_final NUMERIC
@ATTRIBUTE min_leakage NUMERIC
@ATTRIBUTE min_leakage_time_ns NUMERIC

@DATA
562,120,4,34.5,50.5,7129,7111,120,28.8,4,0.0500973444,0.0500973444,50.5
562,120,5,34.5,54.5,7129,7111,120,28.8,4,0.05397985677,0.05397985677,54.5
562,120,6,34.5,58.5,7129,7111,120,28.8,4,0.0588140224,0.0588140224,58.5
562,120,4,37,53,7129,7111,120,28.8,4,0.04167346753,0.04167346753,53
562,120,5,37,57,7129,7111,120,28.8,4,0.04399955305,0.04399955305,57
562,120,6,37,61,7129,7111,120,28.8,4,0.04699424104,0.04699424104,61
562,120,4,40,56,7129,7111,120,28.8,4,0.04062465246,0.03926738301,47.49367089
562,120,5,40,60,7129,7111,120,28.8,4,0.04150036715,0.04045400981,50.88607595
562,120,6,40,64,7129,7111,120,28.8,4,0.04273157345,0.04200558888,54.27848101
560,124,4,30,46,7129,7111,120,28.8,-4,0.06177643185,0.06177643185,46
560,124,5,30,50,7129,7111,120,28.8,-4,0.06773761767,0.06773761767,50
560,124,6,30,54,7129,7111,120,28.8,-4,0.07500946799,0.07500946799,54
560,124,4,32,48,7129,7111,120,28.8,-4,0.04661315155,0.04661315155,48
560,124,5,32,52,7129,7111,120,28.8,-4,0.05083514269,0.05083514269,52
560,124,6,32,56,7129,7111,120,28.8,-4,0.05611616067,0.05611616067,56
560,124,4,34.5,50.5,7129,7111,120,28.8,-4,0.03807138391,0.03806174887,48.58227848
560,124,5,34.5,54.5,7129,7111,120,28.8,-4,0.04039996243,0.04039636843,53.12025316
560,124,6,34.5,58.5,7129,7111,120,28.8,-4,0.04345918342,0.04345918342,58.5
560,124,4,37,53,7129,7111,120,28.8,-4,0.03821090072,0.03627417904,44.27848101
560,124,5,37,57,7129,7111,120,28.8,-4,0.03903390914,0.03758093395,47.62025316
560,124,6,37,61,7129,7111,120,28.8,-4,0.0402703428,0.0393040622,50.96202532
560,124,4,40,56,7129,7111,120,28.8,-4,0.04558874553,0.03585738514,43.24050633
560,124,5,40,60,7129,7111,120,28.8,-4,0.04515723653,0.03679016399,46.32911392
560,124,6,40,64,7129,7111,120,28.8,-4,0.04481241394,0.0379132951,48.60759494
561,124,4,30,46,7129,7111,120,28.8,-2,0.03821748735,0.03821748735,46
561,124,5,30,50,7129,7111,120,28.8,-2,0.04310690823,0.04310690823,50
561,124,6,30,54,7129,7111,120,28.8,-2,0.04912753331,0.04912753331,54
561,124,4,32,48,7129,7111,120,28.8,-2,0.02126235227,0.02126235227,48
561,124,5,32,52,7129,7111,120,28.8,-2,0.02446886007,0.02446886007,52
561,124,6,32,56,7129,7111,120,28.8,-2,0.02856151092,0.02856151092,56
561,124,4,34.5,50.5,7129,7111,120,28.8,-2,0.01106989205,0.01106989205,50.5
561,124,5,34.5,54.5,7129,7111,120,28.8,-2,0.01245381004,0.01245381004,54.5
561,124,6,34.5,58.5,7129,7111,120,28.8,-2,0.01440671794,0.01440671794,58.5
561,124,4,37,53,7129,7111,120,28.8,-2,0.01029308211,0.009462266904,45.62025316
561,124,5,37,57,7129,7111,120,28.8,-2,0.01023689121,0.009834435189,49.06329114
561,124,6,37,61,7129,7111,120,28.8,-2,0.0104480539,0.01034116188,54.82278481
561,124,4,40,56,7129,7111,120,28.8,-2,0.01757922252,0.009320908978,43.94936709
561,124,5,40,60,7129,7111,120,28.8,-2,0.01633510258,0.009567435599,46.32911392
561,124,6,40,64,7129,7111,120,28.8,-2,0.01504979542,0.009863937927,49.41772152
562,124,4,30,46,7129,7111,120,28.8,0,0.03020425532,0.03020425532,46
562,124,5,30,50,7129,7111,120,28.8,0,0.03471681913,0.03471681913,50
562,124,6,30,54,7129,7111,120,28.8,0,0.04029607794,0.04029607794,54
562,124,4,32,48,7129,7111,120,28.8,0,0.01262103102,0.01262103102,48
562,124,5,32,52,7129,7111,120,28.8,0,0.01546914208,0.01546914208,52
562,124,6,32,56,7129,7111,120,28.8,0,0.01914110558,0.01914110558,56
562,124,4,34.5,50.5,7129,7111,120,28.8,0,0.001839413728,0.001839413728,50.5
562,124,5,34.5,54.5,7129,7111,120,28.8,0,0.00288915421,0.00288915421,54.5
562,124,6,34.5,58.5,7129,7111,120,28.8,0,0.004449451107,0.004449451107,58.5
562,124,4,37,53,7129,7111,120,28.8,0,0.000720728903,0.0002088128142,45.62025316
562,124,5,37,57,7129,7111,120,28.8,0,0.0003532551992,0.0002004567498,50.50632911
562,124,6,37,61,7129,7111,120,28.8,0,0.0001999352731,0.0001999352731,61
562,124,4,40,56,7129,7111,120,28.8,0,0.007939329432,0.0002014807586,43.94936709
562,124,5,40,60,7129,7111,120,28.8,0,0.006408271473,0.0002423219126,47.08860759
562,124,6,40,64,7129,7111,120,28.8,0,0.004789449669,0.0002246456721,49.41772152
563,124,4,30,46,7129,7111,120,28.8,2,0.03821748735,0.03821748735,46
563,124,5,30,50,7129,7111,120,28.8,2,0.04310690823,0.04310690823,50
563,124,6,30,54,7129,7111,120,28.8,2,0.04912753331,0.04912753331,54
563,124,4,32,48,7129,7111,120,28.8,2,0.02126235227,0.02126235227,48
563,124,5,32,52,7129,7111,120,28.8,2,0.02446886007,0.02446886007,52
563,124,6,32,56,7129,7111,120,28.8,2,0.02856151092,0.02856151092,56
563,124,4,34.5,50.5,7129,7111,120,28.8,2,0.01106989205,0.01106989205,50.5
563,124,5,34.5,54.5,7129,7111,120,28.8,2,0.01245381004,0.01245381004,54.5
563,124,6,34.5,58.5,7129,7111,120,28.8,2,0.01440671794,0.01440671794,58.5
563,124,4,37,53,7129,7111,120,28.8,2,0.01029308211,0.009462266904,45.62025316
563,124,5,37,57,7129,7111,120,28.8,2,0.01023689121,0.009834435189,49.06329114
563,124,6,37,61,7129,7111,120,28.8,2,0.0104480539,0.01034116188,54.82278481
563,124,4,40,56,7129,7111,120,28.8,2,0.01757922252,0.009320908978,43.94936709
563,124,5,40,60,7129,7111,120,28.8,2,0.01633510258,0.009567435599,46.32911392
