@RELATION appendixE_06_omega_m_sweep

@ATTRIBUTE omega_m_MHz NUMERIC
@ATTRIBUTE omega_a_MHz NUMERIC
@ATTRIBUTE sigma_ns NUMERIC
@ATTRIBUTE T_active_ns NUMERIC
@ATTRIBUTE T_total_ns NUMERIC
@ATTRIBUTE omega_r_MHz NUMERIC
@ATTRIBUTE omega_p_MHz NUMERIC
@ATTRIBUTE g_qr_MHz NUMERIC
@ATTRIBUTE J_MHz NUMERIC
@ATTRIBUTE detuning_MHz NUMERIC
@ATTRIBUTE leakage_final NUMERIC
@ATTRIBUTE min_leakage NUMERIC
@ATTRIBUTE min_leakage_time_ns NUMERIC

@DATA
577.5,120,6,34.5,58.5,7129,7111,120,28.8,35,0.8114268463,0.803747662,46.56122449
580,120,6,34.5,58.5,7129,7111,120,28.8,40,0.8506421964,0.8402597503,45.36734694
582.5,120,6,34.5,58.5,7129,7111,120,28.8,45,0.8807692084,0.8691642021,44.17346939
585,120,6,34.5,58.5,7129,7111,120,28.8,50,0.9033323951,0.8923308019,42.97959184
587.5,120,6,34.5,58.5,7129,7111,120,28.8,55,0.9200630369,0.9106978772,41.78571429
590,120,6,34.5,58.5,7129,7111,120,28.8,60,0.932693494,0.924976374,41.78571429
540,128,4,34.5,50.5,7129,7111,120,28.8,-48,0.8501872638,0.8342746533,39.16326531
542.5,128,4,34.5,50.5,7129,7111,120,28.8,-43,0.8124687665,0.7988604974,41.2244898
545,128,4,34.5,50.5,7129,7111,120,28.8,-38,0.7676737293,0.7588867973,42.25510204
547.5,128,4,34.5,50.5,7129,7111,120,28.8,-33,0.7181472821,0.7138759603,44.31632653
550,128,4,34.5,50.5,7129,7111,120,28.8,-28,0.6594381189,0.6575363624,45.34693878
552.5,128,4,34.5,50.5,7129,7111,120,28.8,-23,0.5768455215,0.5658507484,29.8877551
555,128,4,34.5,50.5,7129,7111,120,28.8,-18,0.4544043873,0.4312614078,32.97959184
557.5,128,4,34.5,50.5,7129,7111,120,28.8,-13,0.2944455306,0.2747000919,36.07142857
560,128,4,34.5,50.5,7129,7111,120,28.8,-8,0.1312526976,0.1223165542,39.16326531
562.5,128,4,34.5,50.5,7129,7111,120,28.8,-3,0.0211391271,0.01919465394,42.25510204
565,128,4,34.5,50.5,7129,7111,120,28.8,2,0.01013346005,0.008738670527,42.25510204
567.5,128,4,34.5,50.5,7129,7111,120,28.8,7,0.1031200063,0.09612470509,40.19387755
570,128,4,34.5,50.5,7129,7111,120,28.8,12,0.2604215298,0.2425415477,37.10204082
572.5,128,4,34.5,50.5,7129,7111,120,28.8,17,0.4247992864,0.4011360399,34.01020408
575,128,4,34.5,50.5,7129,7111,120,28.8,22,0.5558684433,0.5412980472,30.91836735
577.5,128,4,34.5,50.5,7129,7111,120,28.8,27,0.6454300199,0.6437363733,45.34693878
580,128,4,34.5,50.5,7129,7111,120,28.8,32,0.7074751449,0.7038409733,44.31632653
582.5,128,4,34.5,50.5,7129,7111,120,28.8,37,0.7581444455,0.7504663147,43.28571429
585,128,4,34.5,50.5,7129,7111,120,28.8,42,0.8039657287,0.7911307904,41.2244898
587.5,128,4,34.5,50.5,7129,7111,120,28.8,47,0.8433556011,0.8277221099,39.16326531
590,128,4,34.5,50.5,7129,7111,120,28.8,52,0.8737313396,0.8588402791,38.13265306
540,128,5,34.5,54.5,7129,7111,120,28.8,-48,0.8628121489,0.8472457042,41.15306122
542.5,128,5,34.5,54.5,7129,7111,120,28.8,-43,0.829417657,0.8148569909,42.26530612
545,128,5,34.5,54.5,7129,7111,120,28.8,-38,0.7873757494,0.7765101064,44.48979592
547.5,128,5,34.5,54.5,7129,7111,120,28.8,-33,0.737214973,0.7308237103,45.60204082
550,128,5,34.5,54.5,7129,7111,120,28.8,-28,0.6752718147,0.6718204528,46.71428571
552.5,128,5,34.5,54.5,7129,7111,120,28.8,-23,0.5893589137,0.5788395651,33.36734694
555,128,5,34.5,54.5,7129,7111,120,28.8,-18,0.4646471542,0.4417694433,35.59183673
557.5,128,5,34.5,54.5,7129,7111,120,28.8,-13,0.3021424289,0.2822068683,38.92857143
560,128,5,34.5,54.5,7129,7111,120,28.8,-8,0.1350171412,0.1265129627,42.26530612
562.5,128,5,34.5,54.5,7129,7111,120,28.8,-3,0.02127852038,0.02002786616,45.60204082
565,128,5,34.5,54.5,7129,7111,120,28.8,2,0.009867091271,0.009137270998,46.71428571
567.5,128,5,34.5,54.5,7129,7111,120,28.8,7,0.1060343037,0.09968193592,42.26530612
570,128,5,34.5,54.5,7129,7111,120,28.8,12,0.2674333553,0.2496405137,40.04081633
572.5,128,5,34.5,54.5,7129,7111,120,28.8,17,0.4346187392,0.4110673651,36.70408163
575,128,5,34.5,54.5,7129,7111,120,28.8,22,0.5678584619,0.5537333303,33.36734694
577.5,128,5,34.5,54.5,7129,7111,120,28.8,27,0.6605315374,0.6573745889,46.71428571
580,128,5,34.5,54.5,7129,7111,120,28.8,32,0.7260305634,0.7204707844,45.60204082
582.5,128,5,34.5,54.5,7129,7111,120,28.8,37,0.7780087614,0.7680319677,44.48979592
585,128,5,34.5,54.5,7129,7111,120,28.8,42,0.8216747188,0.8077060176,43.37755102
587.5,128,5,34.5,54.5,7129,7111,120,28.8,47,0.8568440106,0.8412662926,41.15306122
590,128,5,34.5,54.5,7129,7111,120,28.8,52,0.883386752,0.8691631683,40.04081633
540,128,6,34.5,58.5,7129,7111,120,28.8,-48,0.8723296281,0.8583739377,42.97959184
542.5,128,6,34.5,58.5,7129,7111,120,28.8,-43,0.8424126663,0.8283446744,44.17346939
545,128,6,34.5,58.5,7129,7111,120,28.8,-38,0.8032224572,0.7915558533,45.36734694
547.5,128,6,34.5,58.5,7129,7111,120,28.8,-33,0.7536020741,0.7456043272,47.75510204
550,128,6,34.5,58.5,7129,7111,120,28.8,-28,0.689962526,0.6849807096,48.94897959
552.5,128,6,34.5,58.5,7129,7111,120,28.8,-23,0.6019877837,0.5915044191,35.81632653
555,128,6,34.5,58.5,7129,7111,120,28.8,-18,0.4758362438,0.4535158037,38.20408163
557.5,128,6,34.5,58.5,7129,7111,120,28.8,-13,0.3110899285,0.2915523388,41.78571429
560,128,6,34.5,58.5,7129,7111,120,28.8,-8,0.1397056216,0.1319387463,45.36734694
562.5,128,6,34.5,58.5,7129,7111,120,28.8,-3,0.02178733621,0.02115333748,50.14285714
565,128,6,34.5,58.5,7129,7111,120,28.8,2,0.009899865369,0.009652929216,51.33673469
567.5,128,6,34.5,58.5,7129,7111,120,28.8,7,0.1097560709,0.1041023728,45.36734694
570,128,6,34.5,58.5,7129,7111,120,28.8,12,0.2756779913,0.2582844799,41.78571429
572.5,128,6,34.5,58.5,7129,7111,120,28.8,17,0.4454929093,0.4223851115,39.39795918
575,128,6,34.5,58.5,7129,7111,120,28.8,22,0.5801644413,0.5662541963,37.01020408
577.5,128,6,34.5,58.5,7129,7111,120,28.8,27,0.6747742422,0.6701007721,48.94897959
580,128,6,34.5,58.5,7129,7111,120,28.8,32,0.7422117358,0.7349223889,47.75510204
582.5,128,6,34.5,58.5,7129,7111,120,28.8,37,0.7941811333,0.7831341747,46.56122449
585,128,6,34.5,58.5,7129,7111,120,28.8,42,0.8353538781,0.8216429826,44.17346939
587.5,128,6,34.5,58.5,7129,7111,120,28.8,47,0.8670196885,0.852907763,42.97959184
590,128,6,34.5,58.5,7129,7111,120,28.8,52,0.8906942727,0.8782015937,41.78571429
540,136,4,34.5,50.5,7129,7111,120,28.8,-56,0.8703670116,0.8568258082,37.10204082
542.5,136,4,34.5,50.5,7129,7111,120,28.8,-51,0.8437874154,0.8256712241,38.13265306
545,136,4,34.5,50.5,7129,7111,120,28.8,-46,0.807017812,0.7881739733,39.16326531
547.5,136,4,34.5,50.5,7129,7111,120,28.8,-41,0.7598081707,0.7446224009,41.2244898
550,136,4,34.5,50.5,7129,7111,120,28.8,-36,0.7058534457,0.6970282788,43.28571429
552.5,136,4,34.5,50.5,7129,7111,120,28.8,-31,0.6483924488,0.6445667956,44.31632653
555,136,4,34.5,50.5,7129,7111,120,28.8,-26,0.5826332133,0.5812531229,45.34693878
557.5,136,4,34.5,50.5,7129,7111,120,28.8,-21,0.4943842314,0.4696689501,28.85714286
560,136,4,34.5,50.5,7129,7111,120,28.8,-16,0.3721265836,0.3297209297,31.94897959
562.5,136,4,34.5,50.5,7129,7111,120,28.8,-11,0.2260145603,0.1833172591,34.01020408
565,136,4,34.5,50.5,7129,7111,120,28.8,-6,0.09506540769,0.06142566255,36.07142857
567.5,136,4,34.5,50.5,7129,7111,120,28.8,-1,0.02958630157,0.002214428488,37.10204082
570,136,4,34.5,50.5,7129,7111,120,28.8,4,0.05857260417,0.02821793997,36.07142857
572.5,136,4,34.5,50.5,7129,7111,120,28.8,9,0.1689169511,0.1294795871,35.04081633
575,136,4,34.5,50.5,7129,7111,120,28.8,14,0.3149371171,0.2706087767,32.97959184
577.5,136,4,34.5,50.5,7129,7111,120,28.8,19,0.4496579863,0.4157739482,29.8877551
580,136,4,34.5,50.5,7129,7111,120,28.8,24,0.5509453242,0.5435324567,27.82653061
582.5,136,4,34.5,50.5,7129,7111,120,28.8,29,0.623732801,0.6211782079,45.34693878
585,136,4,34.5,50.5,7129,7111,120,28.8,34,0.6833092302,0.6767440555,43.28571429
587.5,136,4,34.5,50.5,7129,7111,120,28.8,39,0.7387616584,0.7261184236,42.25510204
590,136,4,34.5,50.5,7129,7111,120,28.8,44,0.7892501016,0.771258158,40.19387755
540,136,5,34.5,54.5,7129,7111,120,28.8,-56,0.8793518548,0.8655103374,40.04081633
542.5,136,5,34.5,54.5,7129,7111,120,28.8,-51,0.8554206516,0.8381166635,40.04081633
545,136,5,34.5,54.5,7129,7111,120,28.8,-46,0.8231181146,0.8043232266,41.15306122
547.5,136,5,34.5,54.5,7129,7111,120,28.8,-41,0.7807289946,0.7641339876,43.37755102
550,136,5,34.5,54.5,7129,7111,120,28.8,-36,0.729044929,0.7175804904,44.48979592
552.5,136,5,34.5,54.5,7129,7111,120,28.8,-31,0.6696462219,0.6636553746,46.71428571
555,136,5,34.5,54.5,7129,7111,120,28.8,-26,0.5991170393,0.5963407738,47.82653061
557.5,136,5,34.5,54.5,7129,7111,120,28.8,-21,0.5059822179,0.4838700733,32.25510204
560,136,5,34.5,54.5,7129,7111,120,28.8,-16,0.3796856178,0.3402315096,34.47959184
562.5,136,5,34.5,54.5,7129,7111,120,28.8,-11,0.2293885773,0.1895922655,36.70408163
565,136,5,34.5,54.5,7129,7111,120,28.8,-6,0.09399706565,0.0637313174,37.81632653
567.5,136,5,34.5,54.5,7129,7111,120,28.8,-1,0.02593489697,0.002082161175,38.92857143
570,136,5,34.5,54.5,7129,7111,120,28.8,4,0.05609661041,0.0292656797,38.92857143
572.5,136,5,34.5,54.5,7129,7111,120,28.8,9,0.1704646569,0.1342335376,36.70408163
575,136,5,34.5,54.5,7129,7111,120,28.8,14,0.3208981288,0.2795196233,35.59183673
577.5,136,5,34.5,54.5,7129,7111,120,28.8,19,0.4595757655,0.4287763885,33.36734694
580,136,5,34.5,54.5,7129,7111,120,28.8,24,0.5653732169,0.5597278211,30.03061224
582.5,136,5,34.5,54.5,7129,7111,120,28.8,29,0.6432588833,0.6388587074,46.71428571
585,136,5,34.5,54.5,7129,7111,120,28.8,34,0.7062202609,0.6971025951,45.60204082
587.5,136,5,34.5,54.5,7129,7111,120,28.8,39,0.761049585,0.7462413124,43.37755102
590,136,5,34.5,54.5,7129,7111,120,28.8,44,0.8073895155,0.7889459869,42.26530612
540,136,6,34.5,58.5,7129,7111,120,28.8,-56,0.8861036396,0.8733860678,41.78571429
542.5,136,6,34.5,58.5,7129,7111,120,28.8,-51,0.8642854076,0.8490661362,41.78571429
545,136,6,34.5,58.5,7129,7111,120,28.8,-46,0.8353772331,0.8183025573,42.97959184
547.5,136,6,34.5,58.5,7129,7111,120,28.8,-41,0.7970550197,0.7807530532,44.17346939
550,136,6,34.5,58.5,7129,7111,120,28.8,-36,0.7480765908,0.7352730149,46.56122449
552.5,136,6,34.5,58.5,7129,7111,120,28.8,-31,0.6882081854,0.6803770343,47.75510204
