@RELATION appendixE_08_sigma_sweep

@ATTRIBUTE omega_m_MHz NUMERIC
@ATTRIBUTE omega_a_MHz NUMERIC
@ATTRIBUTE sigma_ns NUMERIC
@ATTRIBUTE T_active_ns NUMERIC
@ATTRIBUTE T_total_ns NUMERIC
@ATTRIBUTE omega_r_MHz NUMERIC
@ATTRIBUTE omega_p_MHz NUMERIC
@ATTRIBUTE g_qr_MHz NUMERIC
@ATTRIBUTE J_MHz NUMERIC
@ATTRIBUTE detuning_MHz NUMERIC
@ATTRIBUTE leakage_final NUMERIC
@ATTRIBUTE min_leakage NUMERIC
@ATTRIBUTE min_leakage_time_ns NUMERIC

@DATA
564,128,6.5,40,66,7129,7111,120,28.8,0,0.01664506754,0.0002140135718,47.14285714
564,128,7,40,68,7129,7111,120,28.8,0,0.0150040935,0.0002113334488,48.57142857
564,128,7.5,40,70,7129,7111,120,28.8,0,0.01335547411,0.0002172551889,50
564,128,8,40,72,7129,7111,120,28.8,0,0.01172340606,0.0002373903225,51.42857143
568,136,3,30,42,7129,7111,120,28.8,0,0.002508621699,0.0002073803961,35.14285714
568,136,3.5,30,44,7129,7111,120,28.8,0,0.002018521773,0.0002006011952,36.81632653
568,136,4,30,46,7129,7111,120,28.8,0,0.0015335309,0.0002026623186,38.48979592
568,136,4.5,30,48,7129,7111,120,28.8,0,0.001081689238,0.0002192566394,40.16326531
568,136,5,30,50,7129,7111,120,28.8,0,0.0006942197538,0.0002003741247,42.85714286
568,136,5.5,30,52,7129,7111,120,28.8,0,0.0004014485426,0.0002009437346,45.63265306
568,136,6,30,54,7129,7111,120,28.8,0,0.0002313164091,0.0002003337775,49.59183673
568,136,6.5,30,56,7129,7111,120,28.8,0,0.0002120787123,0.0002120787123,56
568,136,7,30,58,7129,7111,120,28.8,0,0.0003683768797,0.0003683768797,58
568,136,7.5,30,60,7129,7111,120,28.8,0,0.0007222367462,0.0007222367462,60
568,136,8,30,62,7129,7111,120,28.8,0,0.001289231016,0.001289231016,62
568,136,3,34.5,46.5,7129,7111,120,28.8,0,0.03071719504,0.0002520085296,34.16326531
568,136,3.5,34.5,48.5,7129,7111,120,28.8,0,0.02924936575,0.0002221844057,35.63265306
568,136,4,34.5,50.5,7129,7111,120,28.8,0,0.02760263064,0.0004031698375,37.10204082
568,136,4.5,34.5,52.5,7129,7111,120,28.8,0,0.02580037756,0.0003345664407,37.5
568,136,5,34.5,54.5,7129,7111,120,28.8,0,0.02386896801,0.0002351141081,38.92857143
568,136,5.5,34.5,56.5,7129,7111,120,28.8,0,0.0218395549,0.0002059643868,40.35714286
568,136,6,34.5,58.5,7129,7111,120,28.8,0,0.01974453836,0.0002008663444,41.78571429
568,136,6.5,34.5,60.5,7129,7111,120,28.8,0,0.01761841915,0.0002010556516,43.21428571
568,136,7,34.5,62.5,7129,7111,120,28.8,0,0.01549604257,0.000206633703,44.64285714
568,136,7.5,34.5,64.5,7129,7111,120,28.8,0,0.01341171432,0.0002303062499,46.07142857
568,136,8,34.5,66.5,7129,7111,120,28.8,0,0.01139728915,0.0002908958175,47.5
568,136,3,40,52,7129,7111,120,28.8,0,0.07366073185,0.0003920356441,33.95918367
568,136,3.5,40,54,7129,7111,120,28.8,0,0.07224242087,0.0002329650295,35.26530612
568,136,4,40,56,7129,7111,120,28.8,0,0.07057532778,0.0002031701752,36.57142857
568,136,4.5,40,58,7129,7111,120,28.8,0,0.06866318414,0.0002762292816,37.87755102
568,136,5,40,60,7129,7111,120,28.8,0,0.06651263318,0.0004208412491,39.18367347
568,136,5.5,40,62,7129,7111,120,28.8,0,0.0641379887,0.0006022119173,40.48979592
568,136,6,40,64,7129,7111,120,28.8,0,0.06155605814,0.0005806915068,40.48979592
568,136,6.5,40,66,7129,7111,120,28.8,0,0.05878852042,0.0004761963404,41.75510204
568,136,7,40,68,7129,7111,120,28.8,0,0.05585988543,0.0004168007734,43.02040816
568,136,7.5,40,70,7129,7111,120,28.8,0,0.05279891459,0.0003919115485,44.28571429
568,136,8,40,72,7129,7111,120,28.8,0,0.0496346763,0.0003949833331,45.55102041
